company_name,deg_weighted,deg_centrality,betweenness,eigenvector,clustering,success,total_raised,employees
Relive,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,63.0,6.98,83.0
Tomorro,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,90.0,49.82,71.0
VoidZero,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,82.0,18.61,
Zolve,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,88.0,407.01,187.0
Blackbird Labs,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,95.0,85.0,45.0
Flock Safety,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,96.0,957.58,1300.0
Torch Dental,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,93.0,66.54,116.0
Stage,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,92.0,19.43,89.0
Moov (Financial Software),66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,92.0,104.63,151.0
Firenze,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,54.0,4.24,8.0
Databricks,113,0.4886877828054299,0.016117587846281527,0.13094798669908747,0.19679776240434207,98.0,14411.95,8000.0
MoonPay,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,63.0,2.05,20.0
Grace (Business/Productivity Software),54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,68.0,6.14,33.0
Arena Club,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,83.0,25.38,44.0
Allegrow,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,65.0,1.55,9.0
Zeitview,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,97.0,178.96,194.0
Flow Life,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,98.0,450.0,164.0
fal,90,0.40723981900452494,0.06491196113829145,0.0950571262590578,0.2035125883151833,97.0,72.0,22.0
Swanston Organisation,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,72.0,12.5,18.0
Archive,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,94.0,55.23,135.0
BuildOps,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,98.0,273.06,382.0
Graphite (Software Development Applications),119,0.5384615384615385,0.12343409113394815,0.10328499448462075,0.16877859335121356,77.0,74.25,48.0
ADDI,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,87.0,527.5,486.0
LlamaIndex,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,91.0,27.38,20.0
Qualtrics,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,,3223.99,5589.0
Observo AI,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,84.0,20.3,33.0
Ramp Business,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,98.0,1818.31,2174.0
Emversity,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,57.0,16.0,198.0
Exa (Internet Software),47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,88.0,25.71,8.0
Pallet (Business/Productivity Software),24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,87.0,41.0,88.0
AvatarOS,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,77.0,7.9,5.0
Deel,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,98.0,684.72,5000.0
Protectt.ai,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,74.0,13.88,67.0
Enter (Sao Paulo),54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,77.0,5.5,35.0
Veza,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,95.0,233.6,195.0
Supabase,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,85.0,297.89,124.0
TrueMed,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,90.0,42.7,47.0
Dexterity,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,96.0,307.35,205.0
Metronome,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,95.0,130.23,133.0
EthSign,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.33721455640687625,95.0,30.0,24.0
K2 Space,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,81.0,175.93,99.0
TRIVER,120,0.5113122171945702,0.01511249937907712,0.14720148540284317,0.2003534642057154,82.0,46.79,27.0
AimLabs,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,81.0,119.06,99.0
ApnaMart,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,48.0,39.08,36.0
Phantom,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,91.0,26.0,17.0
Inco (Business/Productivity Software),66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,75.0,10.25,8.0
Nuitée,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,,48.0,200.0
Cartesia,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,92.0,68.72,45.0
Aura (Network Management Software),53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,98.0,995.01,946.0
Atomo,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,88.0,82.05,45.0
LayerZero,120,0.5113122171945702,0.01511249937907712,0.14720148540284317,0.20035346420571534,93.0,302.03,128.0
OnlinePajak,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,72.0,73.5,55.0
AppliedAI,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,96.0,59.2,114.0
MagicBlock Labs,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,74.0,11.0,10.0
OfferFit,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,88.0,55.37,147.0
TruckSmarter,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,89.0,50.37,61.0
Instant (Business/Productivity Software),53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,83.0,19.58,59.0
Bridgetown Research,154,0.656108597285068,0.13293009466705377,0.10579727142866906,0.13204741248844817,57.0,24.15,2.0
Zepz,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,95.0,1673.46,800.0
Thatch,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,98.0,84.0,78.0
Tailscale,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,96.0,277.26,150.0
Synthesia,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,95.0,334.33,484.0
BPR Hub,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,,2.6,
